kl;test
Unitomo Surabaya;http://www.unitomo.ac.id/
Universitas 17 Agustus 1945 Banyuwangi;http://www.untag-banyuwangi.ac.id/
Universitas 17 Agustus 1945 Cirebon;http://www.untagcirebon.info/
Universitas 17 Agustus 1945 Jakarta;http://www.untag-jkt.org/
Universitas 17 Agustus 1945 Samarinda;http://www.untag-smd.ac.id/
Universitas 17 Agustus 1945 Semarang;http://www.untagsmg.ac.id/
Universitas 17 Agustus 1945 Surabaya;http://www.untag.ac.id/
Universitas Advent Indonesia;http://www.unai.edu/
Universitas Ahmad Dahlan;http://www.uad.ac.id/
Universitas Airlangga;http://www.unair.ac.id/
Universitas Amir Hamzah;http://www.unhamzah.ac.id/
Universitas Andalas;http://www.unand.ac.id/
Universitas Atma Jaya Yogyakarta;http://www.uajy.ac.id/
Universitas Bakrie;http://www.bakrie.ac.id/
Universitas Bengkulu;http://www.unib.ac.id/
Universitas Bhayangkara Jakarta Raya;http://www.ubharajaya.ac.id/
Universitas Bhayangkara Surabaya;http://www.ubhara.ac.id/
Universitas Bojonegoro;http://www.unigoro.ac.id/
Universitas Brawijaya;http://www.ub.ac.id/
Universitas Bunda Mulia Jakarta;http://www.ubm.ac.id/
Universitas Bung Hatta;http://www.bunghatta.ac.id/
Universitas Cenderawasih;http://www.uncen.ac.id/
Universitas Darma Agung;http://www.uda.ac.id/
Universitas Darma Persada;http://www.unsada.ac.id/
Universitas Dian Nuswantoro;http://www.dinus.ac.id/
Universitas Diponegoro;http://www.undip.ac.id/
Universitas Dr. R. Moestopo;http://www.moestopo.ac.id/
Universitas Gadjah Mada;http://www.ugm.ac.id/
Universitas Gajayana Malang;http://www.unigamalang.ac.id/
Universitas Gunadarma;http://www.gunadarma.ac.id/
Universitas Haluoleo;http://www.unhalu.ac.id/
Universitas Hasanuddin;http://www.unhas.ac.id/
Universitas HKBP Nommensen;http://www.nommensen.org/
Universitas Ibn Chaldun Jakarta;http://www.ibnuchaldun.com/
Universitas Ibn Khaldun Bogor;http://www.uika-bogor.ac.id/
Universitas Indonesia;http://www.ui.ac.id/
Universitas Indonusa Esa Unggul;http://www.indonusa.ac.id/
Universitas Islam Bandung;http://www.unisba.ac.id/
Universitas Islam Indonesia;http://www.uii.ac.id/
Universitas Islam Jakarta;http://www.uinjkt.ac.id/
Universitas Islam Malang;http://www.unisma.ac.id/
Universitas Islam Nusantara;http://www.uninus.ac.id/
Universitas Islam Riau;http://www.uir.ac.id/
Universitas Islam Sultan Agung;http://www.unissula.ac.id/
Universitas Islam Sumatera Utara;http://www.uisu.ac.id/
Universitas Islam Syekh-Yusuf ;http://www.unistangerang.ac.id/
Universitas Jambi;http://www.unja.ac.id/
Universitas Janabadra;http://www.janabadra.ac.id/
Universitas Jayabaya;http://www.jayabaya.ac.id/
Universitas Jember;http://www.unej.ac.id/
Universitas Jenderal Achmad Yani;http://www.unjani.ac.id/
Universitas Jenderal Soedirman;http://www.unsoed.ac.id/
Universitas Katolik Indonesia Atma Jaya;http://www.atmajaya.ac.id/
Universitas Katolik Parahyangan;http://www.unpar.ac.id/
Universitas Katolik Soegijapranoto;http://www.unika.ac.id/
Universitas Katolik Widya Karya;http://www.widyakarya.ac.id/
Universitas Katolik Widya Manadala;http://www.wima.ac.id/
Universitas Kediri;http://www.unik-kediri.ac.id/
Universitas Khairun;http://www.unkhair.ac.id/
Universitas Klabat;http://www.tagnet.org/unklab/
Universitas Komputer Indonesia;http://www.unikom.ac.id/
Universitas Krisnadwipayana;http://www.unkris.ac.id/
Universitas Kristen Duta Wacana;http://www.ukdw.ac.id/
Universitas Kristen Indonesia;http://www.uki.ac.id/
Universitas Kristen Indonesia Tomohon;http://www.ukit-tomohon.org/
Universitas Kristen Krida Wacana;http://www.ukrida.ac.id/
Universitas Kristen Maranatha;http://www.maranatha.edu/
Universitas Kristen Petra;http://www.petra.ac.id/
Universitas Kristen Satya Wacana;http://www.uksw.edu/
Universitas Lambung Mangkurat;http://www.unlam.ac.id/
Universitas Lampung;http://www.unila.ac.id/
Universitas Lancang Kuning;http://unilak.ac.id/
Universitas Ma Chung;http://www.machung.ac.id/
Universitas Madura;http://www.unira-pmk.net/
Universitas Mahasaraswati Denpasar;http://www.unmas.org/
Universitas Mahendradatta;http://www.mahendradatta.org/
Universitas Mataram;http://www.unram.ac.id/
Universitas Mercu Buana;http://www.mercubuana.ac.id/
Universitas Merdeka Madiun;http://www.unmer-madiun.ac.id/
Universitas Merdeka Malang;http://www.unmer.ac.id/
Universitas Methodist Indonesia;http://www.umi-mdn.edu/
Universitas Muhammadiyah Jakarta;http://www.umj.ac.id/
Universitas Muhammadiyah Jember;http://www.unmuhjember.ac.id/
Universitas Muhammadiyah Magelang;http://www.ummgl.ac.id/
Universitas Muhammadiyah Makassar;http://www.unismuh.ac.id/
Universitas Muhammadiyah Malang;http://www.umm.ac.id/
Universitas Muhammadiyah Mataram;http://www.unmuhmataram.com/
Universitas Muhammadiyah Sumatra Utara;http://www.umsu.ac.id/
Universitas Muhammadiyah Surakarta;http://www.ums.ac.id/
Universitas Muhammadiyah Yogyakarta;http://www.umy.ac.id/
Universitas Mulawarman;http://www.unmul.ac.id/
Universitas Muria Kudus;http://www.umk.ac.id/
Universitas Muslim Indonesia;http://www.umi.ac.id/
Universitas Narotama;http://www.narotama.ac.id/
Universitas Nasional Jakarta;http://www.unas.ac.id/
Universitas Nasional Pasim;http://www.pasim.ac.id/
Universitas Negeri Gorontalo;http://www.ung.ac.id/
Universitas Negeri Jakarta;http://www.unj.ac.id/
Universitas Negeri Makassar;http://www.unm.ac.id/
Universitas Negeri Malang;http://www.malang.ac.id/
Universitas Negeri Manado;http://www.unima.ac.id/
Universitas Negeri Medan;http://www.unimed.ac.id/
Universitas Negeri Padang;http://www.unp.ac.id/
Universitas Negeri Semarang;http://www.unnes.ac.id/
Universitas Negeri Surabaya;http://www.unesa.ac.id/
Universitas Negeri Yogyakarta;http://www.uny.ac.id/
Universitas Ngurah Rai;http://www.unr.ac.id/
Universitas Nusa Cendana;http://www.undana.ac.id/
Universitas Padjadjaran;http://www.unpad.ac.id/
Universitas Pakuan;http://www.unpak.ac.id/
Universitas Palangka Raya;http://www.upr.ac.id/
Universitas Pancasakti Tegal;http://www.upstegal.ac.id/
Universitas Pancasila;http://www.univpancasila.ac.id/
Universitas Paramadina Mulya;http://www.paramadina.ac.id/
Universitas Pasundan;http://www.unpas.ac.id/
Universitas Pattimura;http://www.unpatti.ac.id/
Universitas Pekalongan;http://www.unikal.ac.id/
Universitas Pelita Harapan;http://www.uph.edu/
Universitas Pembangunan Nasional "Veteran" East Java;http://www.upnjatim.ac.id/
Universitas Pembangunan Panca Budi;http://www.pancabudi.ac.id/
Universitas Pendidikan Indonesia;http://www.upi.edu/
Universitas Persada Indonesia Y.A.I;http://www.yai.ac.id/
Universitas Pesantren Darul Ulum Jombang;http://www.unipdu.ac.id/
Universitas Proklamasi 45;http://www.up45.ac.id/
Universitas Putera Batam;http://www.puterabatam.ac.id/
Universitas Riau;http://www.unri.ac.id/
Universitas Sam Ratulangi;http://www.unsrat.ac.id/
Universitas Sanata Dharma;http://www.usd.ac.id/
Universitas Sarjanawiyata Tamansiswa;http://www.sarjanawiyata.ac.id/
Universitas Sebelas Maret;http://www.uns.ac.id/
Universitas Semarang;http://www.usm.ac.id/
Universitas Siliwangi;http://www.unsil.ac.id/
Universitas Simalungun;http://www.usi.ac.id/
Universitas Slamet Riyadi Surakarta;http://www.unisri.ac.id/
Universitas Sriwijaya;http://www.unsri.ac.id/
Universitas Sultan Ageng Tirtayasa;http://www.untirta.ac.id/
Universitas Sumatera Utara;http://www.usu.ac.id/
Universitas Surabaya;http://www.ubaya.ac.id/
Universitas Swadaya Gunung Djati;http://www.unswagati-crb.ac.id/
Universitas Syiah Kuala;http://www.unsyiah.ac.id/
Universitas Tadulako;http://www.untad.ac.id/
Universitas Tanjungpura;http://www.untan.ac.id/
Universitas Tarumanagara;http://www.untar.ac.id/
Universitas Terbuka Indonesia;http://www.ut.ac.id/
Universitas Tidar Magelang;http://www.utm.ac.id/
Universitas Trilogi;http://www.universitas-trilogi.ac.id/
Universitas Trisakti;http://www.trisakti.ac.id/
Universitas Tunas Pembangunan;http://www.utp.ac.id/
Universitas Udayana;http://www.unud.ac.id/
Universitas Widya Gama Malang;http://www.widyagama.ac.id/
Universitas Widyatama;http://www.widyatama.ac.id/
Universitas Wijaya Kusuma Purwokerto;http://www.unwiku.ac.id/
Universitas Wijaya Kusuma Surabaya;http://www.wijayakusumasby.ac.id/
Universitas Wisnuwardhana;http://www.wisnuwardhana.ac.id/
Universitas Yarsi;http://www.yarsi.ac.id/
Athlone Institute of Technology;http://www.ait.ie/
Carlow Institute of Technology;http://www.itcarlow.ie/
Cork Institute of Technology;http://www.cit.ie/
Dublin City University;http://www.dcu.ie/
Dublin Institute for Advanced Studies;http://www.dias.ie/
Dublin Institute of Technology;http://www.dit.ie/
Galway Mayo Institute of Technology;http://www.gmit.ie/
Griffith College;http://www.gcd.ie/
Institue of Technology, Tralee;http://www.ittralee.ie/
Irish International University (Distance Education);http://www.iiuedu.ie/
LSB College;http://www.lsb.ie/
National College of Ireland;http://www.ncirl.ie/
National University of Ireland;http://www.nui.ie/
National University of Ireland, Galway;http://www.ucg.ie/
National University of Ireland, Maynooth;http://www.may.ie/
Royal College of Physicians of Ireland;http://www.rcpi.ie/
Royal College of Surgeons;http://www.rcsi.ie/
Shannon College of Hotel Management;http://www.shannoncollege.com/
University College Cork;http://www.ucc.ie/
University College Dublin;http://www.ucd.ie/
University of Dublin, Trinity College;http://www.tcd.ie/
University of Limerick;http://www.ul.ie/
Warnborough University;http://www.warnborough.edu/
Waterford Institute Of Technology;http://www.wit.ie/
Acdemic Center for Law and Business;http://www.clb.ac.il/
Afeka Tel Aviv Academic College of Engineering;http://www.afeka.ac.il/
Ariel University Center of Samaria;http://www.ariel.ac.il/
Ashkelon Academic College;http://www.ash-college.ac.il/
Bar-Ilan University;http://www.biu.ac.il/
Ben-Gurion University of the Negev;http://www.bgu.ac.il/
Bezalel Academy of Art and Design;http://www.bezalel.ac.il/
College of Management;http://www.colman.ac.il/
Emeq Yizrael College;http://www.yvc.ac.il/
Galillee College;http://www.galilcol.ac.il/
Hebrew University of Jerusalem;http://www.huji.ac.il/
Jerusalem University College;http://www.juc.edu/
Open University of Israel;http://www.openu.ac.il/
Russell Berrie Nanotechnology Institute;http://rbni.technion.ac.il/
Sami Shamoon College of Engineering;http://www.sce.ac.il/
Shenkar School of Engineering & Design;http://www.shenkar.ac.il/
Technion - Israel Institute of Technology;http://www.technion.ac.il/
Tel Aviv University;http://www.tau.ac.il/
The Interdisciplinary Center Herzliya;http://www.idc.ac.il/
University of Haifa;http://www.haifa.ac.il/
Weizmann Institute of Science;http://www.weizmann.ac.il/
Western Galilee College;http://www.wgalil.ac.il/
Acharya Nagarjuna University;http://www.nagarjunauniversity.ac.in/
Acharya Ranga Agricultural University;http://www.angrau.net/
Ahmedabad University;http://www.ahduni.edu.in/
AISECT University;http://www.aisectuniversity.ac.in/
Alagappa University;http://www.alagappauniversity.ac.in/
Aligarh Muslim University;http://www.amu.ac.in/
Allahabad Agricultural Institute, Deemed University;http://www.aaidu.org/
Allahabad University;http://www.alldunivpio.org/
All India Institute of Medical Sciences;http://www.aiims.ac.in/
Amity University;http://www.amity.edu/
Amravati University;http://www.amtuni.com/
Amrita Vishwa Vidyapeetham (Deemed University);http://www.amrita.edu/
Andhra University;http://www.andhrauniversity.info/
Annamalai University;http://www.annamalaiuniversity.ac.in/
Anna University;http://www.annauniv.edu/
Anna University of Technology, Tirunelveli;http://www.annauniv.edu.in/
ARYA Institute of Engineering & Technology;http://www.aryainstitutejpr.com/
Asian Business School;http://www.abs.edu.in/
Assam Agricultural University;http://www.aau.ac.in/
Assam University;http://www.assamuniversity.nic.in/
Avinashilingam Institute for Home Science and Higher Education for Women;http://www.tnuniv.ac.in/adu/
Awadhesh Pratap Singh University;http://www.apsurewa.nic.in/
Babasaheb Bhimrao Ambedkar University;http://www.bbauindia.org/
Banaras Hindu University;http://www.bhu.ac.in/
Banasthali University;http://www.banasthali.org/
Bangalore University;http://bengaluruuniversity.com/
Bankura University;http://www.bankurauniv.com/
Barkatullah University;http://www.bubhopal.nic.in/
Bengal Engineering College;http://www.becs.ac.in/
Berhampur University;http://www.bamu.nic.in/
Bhagwant University;http://www.bhagwantuniversity.com/
Bharathiar University;http://www.bharathi.ernet.in/
Bharathidasan University;http://www.bdu.ernet.in/
Bharath Institue Of Higher Education & Research;http://www.bharathuniv.com/
Bharati Vidyapeeth University;http://www.bharatividyapeeth.edu/
Bhavnagar University;http://www.bhavuni.edu/
Bhupendra Narayan Mandal University;http://www.bnmu.in/
Bidhan Chandra Agricultural University;http://www.bckv.edu.in/
Biju Pattnaik University of Technology;http://www.bput.org/
Birla Institute of Technology and Science;http://www.bits-pilani.ac.in/
Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
Birsa Agricultural University;http://www.bau.nic.in/
B. R. Ambedkar Bihar University;http://www.brabu.net/
B. S. Abdur Rahman University;http://www.bsauniv.ac.in/
Bundelkhand University;http://www.bundelkhanduniversity.org/
Burdwan University;http://www.buruniv.ac.in/
CCS Haryana Agricultural University;http://hau.ernet.in/
Center for Entrepreneurship and Small Business Management;http://www.cesbm.ac.in/
Central Agricultural University;http://www.cau.org.in/
Central Institute of English and Foreign Languages;http://www.ciefl.org/
Central Institute of Fisheries Education;http://www.cife.edu.in/
Central Institute of Higher Tibetan Studies;http://www.cihts.ac.in/
Chandra Shekhar Azad University of Agriculture and Technology;http://www.csauk.ac.in/
Chaudhary Charan Singh Haryana Agricultural University;http://www.hau.ernet.in/
Chaudhary Charan Singh University;http://www.ccsuniversity.ac.in/
Ch. Charan Singh University;http://www.ccsuniversity.org/
Chhatrapati Shahu Ji Maharaj University;http://www.kanpuruniversity.org/
Christ University;http://www.christuniversity.in/
CMJ University;http://www.cmjuniversity.edu.in/
Cochin University of Science and Technology;http://www.cusat.ac.in/
Darul Huda Islamic University;http://www.darulhuda.com/
Dav University;http://www.davuniversity.org/
Dayalbagh Educational Institute;http://www.dei.ac.in/
Deccan College Postgraduate and Research Institute;http://www.deccancollegepune.ac.in/
Deen Dayal Upadhyay Gorakhpur University;http://www.ddugu.edu.in/
Delhi College of Engineering (DCE);http://www.dceonline.net/
Devi Ahilya University of Indore;http://www.davv.ac.in/
Dhirubhai Ambani Institute of Information and Communication Technology;http://www.da-iict.org/
Dibrugarh University;http://www.dibru.ernet.in/
Dravidian University;http://www.dravidianuniversity.ac.in/
Dr. Babasaheb Ambedkar Marathwada Universtiy;http://www.bamu.net/
Dr. Babasaheb Ambedkar Technological University;http://www.dbatechuni.org/
Dr. Bhim Rao Abdekar University;http://www.brauagra.com/
Dr. B.R. Ambedkar Open University;http://www.braou.ac.in/
Dr. C.V. Raman University;http://www.cvru.ac.in/
Dr. D.Y. Patil University;http://www.dypatiluniversity.org/
Dr. Hari Singh Gour University, formerly University of Sagar;http://www.sagaruniversity.nic.in/
Dr. Panjabrao Deshmukh Krishi Vidyapeeth;http://www.pdkv.ac.in/
Dr. Ram Manohar Lohia Avadh University;http://www.rmlau.ac.in/
Dr. YS Parmar University of Horticulture and Forestry;http://www.ysparmaruniversity.org/
Eiilm University;http://www.eiilmuniversity.ac.in/
Engineering Colleges in Tamil Nadu;http://www.sonatech.ac.in/
Fakir Mohan University;http://www.fmuniversity.nic.in/
Fatima mata national college kollam kerala;http://www.fatimacollege.net/
First Global University to teaching Jainism;http://www.jainuniversity.org/
Forest Research Institute Dehradun;http://fri.icfre.gov.in/
Gandhigram Rural Institute;http://www.tnuniv.ac.in/gri/
Gandhi Institute of Technology and Managment;http://www.gitam.edu/
Gauhati University;http://www.gu.nic.in/
Global Open University , Nagaland;http://www.government.ind.in/
Goa University;http://www.unigoa.ac.in/
Gokhale Institute of Politics and Economics;http://www.gipe.ernet.in/
Govind Ballabh Pant University of Agriculture and Technology;http://www.gbpuat.ac.in/
Gujarat Ayurved University;http://www.ayurveduniversity.com/
Gujarat Technological University Ahmedabad;http://www.gtu.ac.in/
Gujarat University Ahmedabad;http://www.gujaratuniversity.org.in/
Gulbarga University;http://www.gulbargauniversity.kar.nic.in/
Guru Ghasidas University;http://www.ggu.ac.in/
Guru Gobind Singh Indraprastha University;http://www.ipu.ac.in/
Guru Jambeshwar University;http://www.gju.ernet.in/
Gurukula Kangri University;http://www.gkvharidwar.org/
Gurukul University;http://www.gurukuluniversity.org/
Guru Nanak Dev University;http://www.gnduonline.org/
Hemchandracharay North Gujarat University;http://www.ngu.ac.in/
Hemwati Nandan Bahuguna Garhwal University;http://www.hnbgu.ac.in/
Hidayatullah National Law University, Raipur;http://www.hnluraipur.com/
Himachal Pradesh Agricultural University;http://hillagric.ernet.in/
Himachal Pradesh University;http://hpuniv.nic.in/
IASE (Institute of Advanced Studies) Deemed University;http://www.iaseduniv.org/
ICFAI University;http://www.icfai.org/
Indian Agricultural Research Institute;http://www.iari.ernet.in/
Indian Board of Alternative Medicine;http://www.altmedworld.net/
Indian Institute of Information Technology;http://www.iiita.com/
Indian Institute of Information Technology and Management - Kerala;http://www.iiitmk.ac.in/
Indian Institute of Management, Tiruchirappalli;http://www.iimtrichy.ac.in/
Indian Institute of 	
